Illumina_Trusight_one_clinical_exome	SureSelect_Focussed_exome_RDE	Sure_select_all_exon_v5	Sure_select_all_exon_v6
APH1A	ANK3	ADAMTS1	ADAM3A
APH1B	ANKH	ADAMTS10	ADAM6
APLNR	ANKK1	ADAMTS12	ADAM7
APOA1	ANKRD1	ADAMTS13	ADAM8
APOA2	ANKRD11	ADAMTS14	ADAM9
APOA4	ANKRD26	ADAMTS15	ADAMDEC1
APOA5	ANKS1A	ADAMTS16	ADAMTS1
APOB	ANKS1B	ADAMTS17	ADAMTS10
APOBEC3B	ANKS6	ADAMTS18	ADAMTS12
APOBEC3G	ANO10	ADAMTS19	ADAMTS13
APOBEC3H	ANO3	ADAMTS2	ADAMTS14
APOC1	ANO5	ADAMTS20	ADAMTS15
APOC2	ANO6	ADAMTS3	ADAMTS16
APOC3	ANO7	ADAMTS4	ADAMTS17
APOC4	ANTXR1	ADAMTS5	ADAMTS18
APOD	ANTXR2	ADAMTS6	ADAMTS19
APOE	ANXA11	ADAMTS7	ADAMTS19-AS1
APOH	ANXA5	ADAMTS7P1	ADAMTS2
APOL1	AOAH	ADAMTS8	ADAMTS20
APOL3	AOC1	ADAMTS9	ADAMTS3
APOM	AOX1	ADAMTSL1	ADAMTS4
APP	AP1S1	ADAMTSL2	ADAMTS5
APRT	AP1S2	ADAMTSL3	ADAMTS6
APTX	AP2A1	ADAMTSL4	ADAMTS7
AQP1	AP3B1	ADAMTSL4-AS1	ADAMTS7P1
AQP2	AP3B2	ADAMTSL5	ADAMTS8
AQP3	AP4B1	ADAP1	ADAMTS9
AQP4	AP4B1-AS1	ADAP2	ADAMTS9-AS1
AQP5	AP4E1	ADAR	ADAMTSL1
AQP7	AP4M1	ADARB1	ADAMTSL2
AR	AP4S1	ADARB2	ADAMTSL3
AREL1	AP5Z1	ADARB2-AS1	ADAMTSL4
ARF4	APAF1	ADAT1	ADAMTSL4-AS1
ARFGEF2	APBA2	ADAT2	ADAMTSL5
ARG1	APBB1	ADAT3	ADAP1
ARHGAP24	APBB3	ADC	ADAP2
ARHGAP31	APC	ADCK1	ADAR
ARHGAP6	APCDD1	ADCK2	ADARB1
ARHGAP9	APEX1	ADCK3	ADARB2
ARHGEF10	APH1A	ADCK4	ADARB2-AS1
ARHGEF11	APH1B	ADCK5	ADAT1
ARHGEF12	APIP	ADCY1	ADAT2
ARHGEF6	APLNR	ADCY10	ADAT3
ARHGEF7	APOA1	ADCY10P1	ADCK1
ARHGEF9	APOA2	ADCY2	ADCK2
ARID1A	APOA4	ADCY3	ADCK3
ARID1B	APOA5	ADCY4	ADCK4
ARL11	APOB	ADCY5	ADCK5
ARL13B	APOBEC2	ADCY6	ADCY1
ARL14EP	APOBEC3B	ADCY7	ADCY10
ARL6	APOBEC3G	ADCY8	ADCY10P1
ARL6IP5	APOBEC3H	ADCY9	ADCY2
ARMS2	APOC1	ADCYAP1	ADCY3
ARPC3	APOC2	ADCYAP1R1	ADCY4
ARSA	APOC3	ADD1	ADCY5
ARSB	APOC4	ADD2	ADCY6
ARSE	APOC4-APOC2	ADD3	ADCY7
ARSF	APOD	ADD3-AS1	ADCY8
ART4	APOE	ADGB	ADCY9
ARVCF	APOF	ADH1A	ADCYAP1
ARX	APOH	ADH1B	ADCYAP1R1
AS3MT	APOL1	ADH1C	ADD1
ASAH1	APOL3	ADH4	ADD2
ASAH2	APOM	ADH5	ADD3
ASB10	APOOL	ADH6	ADD3-AS1
ASCC1	APP	ADH7	ADGB
ASCC3	APRT	ADHFE1	ADH1A
ASCL1	APTX	ADI1	ADH1B
ASIC3	AQP1	ADIG	ADH1C
ASIP	AQP2	ADIPOQ	ADH4
ASL	AQP3	ADIPOQ-AS1	ADH5
ASMT	AQP4	ADIPOR1	ADH6
ASMTL	AQP5	ADIPOR2	ADH7
ASNS	AR	ADIRF	ADHFE1
ASPA	ARAF	ADK	ADI1
ASPM	ARC	ADM	ADIG
ASPN	AREL1	ADM2	ADIPOQ
ASPRV1	ARF4	ADM5	ADIPOQ-AS1
ASS1	ARFGEF2	ADNP	ADIPOR1
ASTN2	ARG1	ADNP2	ADIPOR2
ASXL1	ARHGAP24	ADO	ADIRF
ATCAY	ARHGAP26	ADORA1	ADK
ATF1	ARHGAP31	ADORA2A	ADM
ATF3	ARHGAP6	ADORA2A-AS1	ADM2
ATF5	ARHGAP9	ADORA2B	ADM5
ATF6	ARHGDIA	ADORA3	ADNP
ATG16L1	ARHGEF10	ADPGK	ADNP2
ATG7	ARHGEF11	ADPGK-AS1	ADO
ATIC	ARHGEF12	ADPRH	ADORA1
ATL1	ARHGEF28	ADPRHL1	ADORA2A
ATM	ARHGEF6	ADPRHL2	ADORA2A-AS1
ATN1	ARHGEF7	ADPRM	ADORA2B
ATOH7	ARHGEF9	ADRA1A	ADORA3
ATP10A	ARID1A	ADRA1B	ADPGK
ATP10D	ARID1B	ADRA1D	ADPGK-AS1
ATP13A2	ARID2	ADRA2A	ADPRH
ATP13A4	ARID5A	ADRA2B	ADPRHL1
ATP1A2	ARIH1	ADRA2C	ADPRHL2
ATP1A3	ARL11	ADRB1	ADPRM
ATP1B1	ARL13B	ADRB2	ADRA1A
ATP2A1	ARL14EP	ADRB3	ADRA1B
ATP2A2	ARL2BP	ADRBK1	ADRA1D
ATP2A3	ARL6	ADRBK2	ADRA2A
ATP2B2	ARL6IP5	ADRM1	ADRA2B
ATP2B4	ARMC4	ADSL	ADRA2C
ATP2C1	ARMS2	ADSS	ADRB1
ATP5E	ARNT	ADSSL1	ADRB2
ATP5SL	ARPC3	ADTRP	ADRB3
ATP6AP2	ARSA	AEBP1	ADRBK1
ATP6V0A1	ARSB	AEBP2	ADRBK2
ATP6V0A2	ARSE	AEN	ADRM1
ATP6V0A4	ARSF	AES	ADSL
ATP6V1B1	ART4	AFAP1	ADSS
ATP7A	ARVCF	AFAP1-AS1	ADSSL1
ATP7B	ARX	AFAP1L1	ADTRP
ATP8A2	AS3MT	AFAP1L2	AEBP1
ATP8B1	ASAH1	AFF1	AEBP2
ATPAF2	ASAH2	AFF2	AEN
ATR	ASB10	AFF3	AES
ATRNL1	ASCC1	AFF4	AFAP1
ATRX	ASCC3	AFG3L1P	AFAP1-AS1
ATXN1	ASCL1	AFG3L2	AFAP1L1
ATXN10	ASH1L	AFM	AFAP1L2
ATXN2	ASIC3	AFMID	AFF1
ATXN3	ASIP	AFP	AFF2
ATXN3L	ASL	AFTPH	AFF3
ATXN7	ASNS	AGA	AFF4
ATXN8OS	ASPA	AGAP1	AFG3L1P
AUH	ASPM	AGAP11	AFG3L2
AURKA	ASPN	AGAP2	AFM
AURKC	ASPRV1	AGAP2-AS1	AFMID
AUTS2	ASPSCR1	AGAP3	AFP
AVP	ASS1	AGBL1	AFTPH
AVPR1A	ASTE1	AGBL2	AGA
AVPR1B	ASTN2	AGBL3	AGAP1
AVPR2	ASXL1	AGBL4	AGAP11
AXIN1	ASXL3	AGBL5	AGAP2
AXIN2	ATCAY	AGER	AGAP2-AS1
AXL	ATF1	AGFG1	AGAP3
B2M	ATF3	AGFG2	AGAP4
B3GALNT1	ATF5	AGGF1	AGAP5
B3GALT6	ATF6	AGK	AGAP6
B3GALTL	ATG16L1	AGL	AGAP7P
B3GAT3	ATG7	AGMAT	AGAP9
B3GNT1	ATG9B	AGMO	AGBL1
B3GNT3	ATIC	AGO1	AGBL2
B4GALT1	ATL1	AGO2	AGBL3
B4GALT7	ATM	AGO3	AGBL4
B9D1	ATN1	AGO4	AGBL5
B9D2	ATOH7	AGPAT1	AGER
BAALC	ATP10A	AGPAT2	AGFG1
BAAT	ATP10D	AGPAT3	AGFG2
BACE1	ATP13A2	AGPAT4	AGGF1
BAG3	ATP13A4	AGPAT4-IT1	AGK
BAG6	ATP1A2	AGPAT5	AGL
BANF1	ATP1A3	AGPAT6	AGMAT
BANK1	ATP1B1	AGPAT9	AGMO
BAP1	ATP2A1	AGPS	AGO1
BARD1	ATP2A2	AGR2	AGO2
BAX	ATP2A3	AGR3	AGO3
BBS1	ATP2B2	AGRN	AGO4
BBS10	ATP2B3	AGRP	AGPAT1
BBS12	ATP2B4	AGT	AGPAT2
BBS2	ATP2C1	AGTPBP1	AGPAT3
BBS4	ATP5A1	AGTR1	AGPAT4
BBS5	ATP5B	AGTR2	AGPAT4-IT1
BBS7	ATP5C1	AGTRAP	AGPAT5
BBS9	ATP5E	AGXT	AGPAT6
BCAM	ATP5G1	AGXT2	AGPAT9
BCAP31	ATP5G2	AHCTF1	AGPS
BCAT1	ATP5G3	AHCTF1P1	AGR2
BCAT2	ATP5I	AHCY	AGR3
