Illumina_Trusight_one_clinical_exome	SureSelect_Focussed_exome_RDE	Sure_select_all_exon_v5	Sure_select_all_exon_v6
		SNORA50	SERINC5
		SNORA51	SERP1
		SNORA52	SERP2
		SNORA53	SERPINA1
		SNORA54	SERPINA10
		SNORA55	SERPINA11
		SNORA56	SERPINA12
		SNORA57	SERPINA13P
		SNORA58	SERPINA2
		SNORA59A	SERPINA3
		SNORA59B	SERPINA4
		SNORA5A	SERPINA5
		SNORA5B	SERPINA6
		SNORA5C	SERPINA7
		SNORA6	SERPINA9
		SNORA60	SERPINB1
		SNORA61	SERPINB10
		SNORA62	SERPINB11
		SNORA63	SERPINB12
		SNORA64	SERPINB13
		SNORA65	SERPINB2
		SNORA66	SERPINB3
		SNORA67	SERPINB4
		SNORA68	SERPINB5
		SNORA69	SERPINB6
		SNORA70	SERPINB7
		SNORA70B	SERPINB8
		SNORA70C	SERPINB9
		SNORA70D	SERPINC1
		SNORA70E	SERPIND1
		SNORA70F	SERPINE1
		SNORA70G	SERPINE2
		SNORA71A	SERPINE3
		SNORA71B	SERPINF1
		SNORA71C	SERPINF2
		SNORA71D	SERPING1
		SNORA72	SERPINH1
		SNORA74A	SERPINI1
		SNORA74B	SERPINI2
		SNORA75	SERTAD1
		SNORA76	SERTAD2
		SNORA77	SERTAD3
		SNORA78	SERTAD4
		SNORA79	SERTAD4-AS1
		SNORA7A	SERTM1
		SNORA7B	SESN1
		SNORA8	SESN2
		SNORA80	SESN3
		SNORA80B	SESTD1
		SNORA81	SET
		SNORA84	SETBP1
		SNORA9	SETD1A
		SNORD10	SETD1B
		SNORD100	SETD2
		SNORD101	SETD3
		SNORD102	SETD4
		SNORD103A	SETD5
		SNORD103B	SETD6
		SNORD104	SETD7
		SNORD105	SETD8
		SNORD105B	SETD9
		SNORD107	SETDB1
		SNORD108	SETDB2
		SNORD109A	SETMAR
		SNORD109B	SETSIP
		SNORD11	SETX
		SNORD110	SEZ6
		SNORD111	SEZ6L
		SNORD111B	SEZ6L2
		SNORD113-1	SF1
		SNORD113-2	SF3A1
		SNORD113-4	SF3A2
		SNORD113-5	SF3A3
		SNORD113-6	SF3B1
		SNORD113-7	SF3B2
		SNORD113-9	SF3B3
		SNORD114-1	SF3B4
		SNORD114-10	SF3B5
		SNORD114-11	SF3B6
		SNORD114-12	SFI1
		SNORD114-13	SFMBT1
		SNORD114-14	SFMBT2
		SNORD114-15	SFN
		SNORD114-16	SFPQ
		SNORD114-17	SFR1
		SNORD114-18	SFRP1
		SNORD114-19	SFRP2
		SNORD114-2	SFRP4
		SNORD114-20	SFRP5
		SNORD114-21	SFSWAP
		SNORD114-22	SFT2D1
		SNORD114-23	SFT2D2
		SNORD114-24	SFT2D3
		SNORD114-25	SFTA2
		SNORD114-26	SFTA3
		SNORD114-27	SFTPA1
		SNORD114-28	SFTPA2
		SNORD114-29	SFTPB
		SNORD114-3	SFTPC
		SNORD114-30	SFTPD
		SNORD114-31	SFXN1
		SNORD114-4	SFXN2
		SNORD114-5	SFXN3
		SNORD114-6	SFXN4
		SNORD114-7	SFXN5
		SNORD114-8	SGCA
		SNORD114-9	SGCB
		SNORD115-1	SGCD
		SNORD115-10	SGCE
		SNORD115-11	SGCG
		SNORD115-12	SGCZ
		SNORD115-13	SGIP1
		SNORD115-14	SGK1
		SNORD115-15	SGK2
		SNORD115-16	SGK223
		SNORD115-17	SGK3
		SNORD115-18	SGK494
		SNORD115-19	SGMS1
		SNORD115-2	SGMS1-AS1
		SNORD115-20	SGMS2
		SNORD115-21	SGOL1
		SNORD115-22	SGOL1-AS1
		SNORD115-23	SGOL2
		SNORD115-24	SGPL1
		SNORD115-25	SGPP1
		SNORD115-27	SGPP2
		SNORD115-28	SGSH
		SNORD115-30	SGSM1
		SNORD115-31	SGSM2
		SNORD115-32	SGSM3
		SNORD115-33	SGTA
		SNORD115-34	SGTB
		SNORD115-35	SH2B1
		SNORD115-36	SH2B2
		SNORD115-37	SH2B3
		SNORD115-38	SH2D1A
		SNORD115-39	SH2D1B
		SNORD115-4	SH2D2A
		SNORD115-40	SH2D3A
		SNORD115-41	SH2D3C
		SNORD115-42	SH2D4A
		SNORD115-43	SH2D4B
		SNORD115-44	SH2D5
		SNORD115-45	SH2D6
		SNORD115-47	SH2D7
		SNORD115-6	SH3BGR
		SNORD115-7	SH3BGRL
		SNORD115-8	SH3BGRL2
		SNORD115-9	SH3BGRL3
		SNORD116-1	SH3BP1
		SNORD116-10	SH3BP2
		SNORD116-11	SH3BP4
		SNORD116-12	SH3BP5
		SNORD116-13	SH3BP5-AS1
		SNORD116-14	SH3BP5L
		SNORD116-15	SH3D19
		SNORD116-16	SH3D21
		SNORD116-17	SH3GL1
		SNORD116-18	SH3GL1P1
		SNORD116-19	SH3GL2
		SNORD116-2	SH3GL3
		SNORD116-20	SH3GLB1
		SNORD116-21	SH3GLB2
		SNORD116-22	SH3KBP1
		SNORD116-23	SH3PXD2A
		SNORD116-24	SH3PXD2B
		SNORD116-25	SH3RF1
		SNORD116-26	SH3RF2
		SNORD116-27	SH3RF3
		SNORD116-28	SH3RF3-AS1
		SNORD116-29	SH3TC1
		SNORD116-3	SH3TC2
		SNORD116-4	SH3YL1
		SNORD116-5	SHANK1
		SNORD116-6	SHANK2
		SNORD116-7	SHANK2-AS3
		SNORD116-8	SHANK3
		SNORD116-9	SHARPIN
		SNORD117	SHB
		SNORD119	SHBG
		SNORD11B	SHC1
		SNORD12	SHC2
		SNORD121A	SHC3
		SNORD121B	SHC4
		SNORD123	SHCBP1
		SNORD124	SHCBP1L
		SNORD125	SHD
		SNORD126	SHE
		SNORD127	SHF
		SNORD12B	SHFM1
		SNORD12C	SHH
		SNORD15A	SHISA2
		SNORD15B	SHISA3
		SNORD16	SHISA4
		SNORD17	SHISA5
		SNORD18A	SHISA6
		SNORD18B	SHISA7
		SNORD18C	SHISA8
		SNORD19	SHISA9
		SNORD19B	SHKBP1
		SNORD1A	SHMT1
		SNORD1B	SHMT2
		SNORD1C	SHOC2
		SNORD2	SHOX
		SNORD20	SHOX2
		SNORD21	SHPK
		SNORD22	SHPRH
		SNORD23	SHQ1
		SNORD24	SHROOM1
		SNORD25	SHROOM2
		SNORD26	SHROOM3
		SNORD27	SHROOM4
		SNORD28	SI
		SNORD29	SIAE
		SNORD30	SIAH1
		SNORD31	SIAH2
		SNORD32A	SIAH3
		SNORD32B	SIDT1
		SNORD33	SIDT2
		SNORD34	SIGIRR
		SNORD35A	SIGLEC1
		SNORD35B	SIGLEC10
		SNORD36A	SIGLEC11
		SNORD36B	SIGLEC12
		SNORD36C	SIGLEC14
		SNORD37	SIGLEC15
		SNORD38A	SIGLEC16
		SNORD38B	SIGLEC17P
		SNORD41	SIGLEC5
		SNORD42A	SIGLEC6
		SNORD42B	SIGLEC7
		SNORD43	SIGLEC8
		SNORD44	SIGLEC9
		SNORD45A	SIGLECL1
		SNORD45B	SIGMAR1
		SNORD45C	SIK1
		SNORD46	SIK2
		SNORD47	SIK3
		SNORD48	SIKE1
		SNORD49A	SIL1
		SNORD49B	SIM1
		SNORD4A	SIM2
		SNORD4B	SIMC1
		SNORD5	SIN3A
		SNORD50A	SIN3B
		SNORD50B	SIPA1
		SNORD51	SIPA1L1
		SNORD52	SIPA1L2
		SNORD53	SIPA1L3
		SNORD54	SIRPA
		SNORD55	SIRPB1
		SNORD56	SIRPB2
		SNORD56B	SIRPD
		SNORD57	SIRPG
		SNORD58B	SIRT1
		SNORD58C	SIRT2
		SNORD59A	SIRT3
		SNORD59B	SIRT4
		SNORD6	SIRT5
		SNORD60	SIRT6
		SNORD61	SIRT7
		SNORD62A	SIT1
		SNORD62B	SIVA1
		SNORD63	SIX1
		SNORD64	SIX2
		SNORD65	SIX3
		SNORD66	SIX4
		SNORD67	SIX5
		SNORD68	SIX6
		SNORD69	SKA1
		SNORD7	SKA2
		SNORD70	SKA3
		SNORD71	SKAP1
		SNORD72	SKAP2
		SNORD73A	SKI
		SNORD74	SKIDA1
		SNORD75	SKIL
		SNORD76	SKIV2L
		SNORD77	SKIV2L2
		SNORD78	SKOR1
		SNORD79	SKOR2
		SNORD8	SKP1
		SNORD80	SKP1P2
		SNORD81	SKP2
		SNORD82	SLA
		SNORD83A	SLA2
		SNORD83B	SLAIN1
		SNORD84	SLAIN2
		SNORD85	SLAMF1
		SNORD86	SLAMF6
		SNORD87	SLAMF7
		SNORD88A	SLAMF8
		SNORD88B	SLAMF9
		SNORD88C	SLBP
		SNORD89	SLC10A1
		SNORD9	SLC10A2
		SNORD90	SLC10A3
		SNORD91A	SLC10A4
		SNORD91B	SLC10A5
		SNORD92	SLC10A6
		SNORD93	SLC10A7
		SNORD94	SLC11A1
		SNORD95	SLC11A2
		SNORD96A	SLC12A1
		SNORD96B	SLC12A2
		SNORD97	SLC12A3
		SNORD98	SLC12A4
		SNORD99	SLC12A5
		SNPH	SLC12A6
		SNRK	SLC12A7
		SNRK-AS1	SLC12A8
		SNRNP200	SLC12A9
		SNRNP25	SLC13A1
		SNRNP27	SLC13A2
		SNRNP35	SLC13A3
		SNRNP40	SLC13A4
		SNRNP48	SLC13A5
		SNRNP70	SLC14A1
		SNRPA	SLC14A2
		SNRPA1	SLC15A1
		SNRPB	SLC15A2
		SNRPB2	SLC15A3
		SNRPC	SLC15A4
		SNRPD1	SLC15A5
		SNRPD2	SLC16A1
		SNRPD2P2	SLC16A10
		SNRPD3	SLC16A11
		SNRPF	SLC16A12
		SNRPG	SLC16A12-AS1
		SNRPN	SLC16A13
		SNTA1	SLC16A14
		SNTB1	SLC16A2
		SNTB2	SLC16A3
		SNTG1	SLC16A4
		SNTG2	SLC16A5
		SNTN	SLC16A6
		SNUPN	SLC16A7
		SNURF	SLC16A8
		SNW1	SLC16A9
		SNX1	SLC17A1
		SNX10	SLC17A2
		SNX11	SLC17A3
		SNX12	SLC17A4
		SNX13	SLC17A5
		SNX14	SLC17A6
		SNX15	SLC17A7
		SNX16	SLC17A8
		SNX17	SLC17A9
		SNX18	SLC18A1
		SNX19	SLC18A2
		SNX2	SLC18A3
		SNX20	SLC18B1
		SNX21	SLC19A1
		SNX22	SLC19A2
		SNX24	SLC19A3
		SNX25	SLC1A1
		SNX27	SLC1A2
		SNX29	SLC1A3
		SNX29P1	SLC1A4
		SNX29P2	SLC1A5
		SNX3	SLC1A6
		SNX30	SLC1A7
		SNX31	SLC20A1
		SNX32	SLC20A2
		SNX33	SLC22A1
		SNX4	SLC22A10
		SNX5	SLC22A11
		SNX6	SLC22A12
		SNX7	SLC22A13
		SNX8	SLC22A14
		SNX9	SLC22A15
		SOAT1	SLC22A16
		SOAT2	SLC22A17
		SOBP	SLC22A18
		SOCS1	SLC22A18AS
		SOCS2	SLC22A2
		SOCS2-AS1	SLC22A20
		SOCS3	SLC22A23
		SOCS4	SLC22A24
		SOCS5	SLC22A25
		SOCS6	SLC22A3
		SOCS7	SLC22A31
		SOD1	SLC22A4
		SOD2	SLC22A5
		SOD3	SLC22A6
		SOGA1	SLC22A7
		SOGA3	SLC22A8
		SOHLH1	SLC22A9
		SOHLH2	SLC23A1
		SON	SLC23A2
		SORBS1	SLC23A3
		SORBS2	SLC24A1
		SORBS3	SLC24A2
		SORCS1	SLC24A3
		SORCS2	SLC24A4
		SORCS3	SLC24A5
		SORCS3-AS1	SLC25A1
		SORD	SLC25A10
		SORT1	SLC25A11
		SOS1	SLC25A12
		SOS2	SLC25A13
		SOST	SLC25A14
		SOSTDC1	SLC25A15
		SOWAHA	SLC25A16
		SOWAHB	SLC25A17
		SOWAHC	SLC25A18
		SOWAHD	SLC25A19
		SOX1	SLC25A2
		SOX10	SLC25A20
		SOX11	SLC25A21
		SOX12	SLC25A21-AS1
		SOX13	SLC25A22
		SOX14	SLC25A23
		SOX15	SLC25A24
		SOX17	SLC25A25
		SOX18	SLC25A26
		SOX2	SLC25A27
		SOX21	SLC25A28
		SOX21-AS1	SLC25A29
		SOX2-OT	SLC25A3
		SOX4	SLC25A30
		SOX5	SLC25A31
		SOX6	SLC25A32
		SOX7	SLC25A33
		SOX8	SLC25A34
		SOX9	SLC25A35
		SOX9-AS1	SLC25A36
		SP1	SLC25A37
		SP110	SLC25A38
		SP140	SLC25A39
		SP140L	SLC25A3P1
		SP2	SLC25A4
		SP3	SLC25A40
		SP4	SLC25A41
		SP5	SLC25A42
		SP6	SLC25A43
		SP7	SLC25A44
		SP8	SLC25A45
		SP9	SLC25A46
		SPA17	SLC25A47
		SPACA1	SLC25A48
		SPACA3	SLC25A5
		SPACA4	SLC25A51
		SPACA5	SLC25A52
		SPACA5B	SLC25A53
		SPACA6P	SLC25A5-AS1
		SPACA6P-AS	SLC25A6
		SPACA7	SLC26A1
		SPAG1	SLC26A10
		SPAG11A	SLC26A11
		SPAG11B	SLC26A2
		SPAG16	SLC26A3
		SPAG17	SLC26A4
		SPAG4	SLC26A4-AS1
		SPAG5	SLC26A5
		SPAG5-AS1	SLC26A6
		SPAG6	SLC26A7
		SPAG7	SLC26A8
		SPAG8	SLC26A9
		SPAG9	SLC27A1
		SPAM1	SLC27A2
		SPANXA1	SLC27A3
		SPANXA2	SLC27A4
		SPANXC	SLC27A5
		SPANXD	SLC27A6
		SPANXE	SLC28A1
		SPANXF1	SLC28A2
		SPANXN1	SLC28A3
		SPANXN2	SLC29A1
		SPANXN3	SLC29A2
		SPANXN4	SLC29A3
		SPANXN5	SLC29A4
		SPARC	SLC2A1
		SPARCL1	SLC2A10
		SPAST	SLC2A11
		SPATA12	SLC2A12
		SPATA13	SLC2A13
		SPATA13-AS1	SLC2A14
		SPATA16	SLC2A2
		SPATA18	SLC2A3
		SPATA19	SLC2A4
		SPATA2	SLC2A4RG
		SPATA20	SLC2A5
		SPATA21	SLC2A6
		SPATA22	SLC2A7
		SPATA24	SLC2A8
		SPATA25	SLC2A9
		SPATA2L	SLC30A1
		SPATA3	SLC30A10
		SPATA31A1	SLC30A2
		SPATA31A2	SLC30A3
		SPATA31D1	SLC30A4
		SPATA31D3	SLC30A5
		SPATA31D4	SLC30A6
		SPATA31D5P	SLC30A7
		SPATA31E1	SLC30A8
		SPATA32	SLC30A9
		SPATA33	SLC31A1
		SPATA3-AS1	SLC31A2
		SPATA4	SLC32A1
		SPATA42	SLC33A1
		SPATA45	SLC34A1
		SPATA5L1	SLC34A2
		SPATA6	SLC34A3
		SPATA6L	SLC35A1
		SPATA7	SLC35A2
		SPATA8	SLC35A3
		SPATA8-AS1	SLC35A4
		SPATA9	SLC35A5
		SPATC1L	SLC35B1
		SPATS1	SLC35B2
		SPATS2	SLC35B3
		SPATS2L	SLC35B4
		SPC24	SLC35C1
		SPC25	SLC35C2
		SPCS1	SLC35D1
		SPCS2	SLC35D2
		SPCS3	SLC35D3
		SPDEF	SLC35E1
		SPDL1	SLC35E2
		SPDYA	SLC35E2B
		SPDYC	SLC35E3
		SPDYE1	SLC35E4
		SPDYE2	SLC35F1
		SPDYE5	SLC35F2
		SPDYE6	SLC35F3
		SPECC1L-ADORA2A	SLC35F4
		SPEF1	SLC35F5
		SPEF2	SLC35F6
		SPEG	SLC35G1
		SPEM1	SLC35G2
		SPEN	SLC35G3
		SPERT	SLC35G4
		SPESP1	SLC35G5
		SPG11	SLC35G6
		SPG20	SLC36A1
		SPG20OS	SLC36A2
		SPG21	SLC36A3
		SPG7	SLC36A4
		SPHAR	SLC37A1
		SPHK1	SLC37A2
		SPHK2	SLC37A3
		SPHKAP	SLC37A4
		SPI1	SLC38A1
		SPIB	SLC38A10
		SPIC	SLC38A11
		SPICE1	SLC38A2
		SPIDR	SLC38A3
		SPIN1	SLC38A4
		SPIN2A	SLC38A5
		SPIN2B	SLC38A6
		SPIN3	SLC38A7
		SPIN4	SLC38A8
		SPINK1	SLC38A9
		SPINK13	SLC39A1
		SPINK14	SLC39A10
		SPINK2	SLC39A11
		SPINK4	SLC39A12
		SPINK5	SLC39A12-AS1
		SPINK6	SLC39A13
		SPINK7	SLC39A14
		SPINK8	SLC39A2
		SPINK9	SLC39A3
		SPINT1	SLC39A4
		SPINT2	SLC39A5
		SPINT3	SLC39A6
		SPINT4	SLC39A7
		SPIRE1	SLC39A8
		SPIRE2	SLC39A9
		SPN	SLC3A1
		SPNS1	SLC3A2
		SPNS2	SLC40A1
		SPNS3	SLC41A1
		SPO11	SLC41A2
		SPOCD1	SLC41A3
		SPOCK1	SLC43A1
		SPOCK2	SLC43A2
		SPOCK3	SLC43A3
		SPON1	SLC44A1
		SPON2	SLC44A2
		SPOP	SLC44A3
		SPOPL	SLC44A4
		SPP1	SLC44A5
		SPP2	SLC45A1
		SPPL2A	SLC45A2
		SPPL2B	SLC45A3
		SPPL2C	SLC45A4
		SPPL3	SLC46A1
		SPR	SLC46A2
		SPRED1	SLC46A3
		SPRED2	SLC47A1
		SPRED3	SLC47A2
		SPRN	SLC48A1
		SPRNP1	SLC4A1
		SPRR1A	SLC4A10
		SPRR1B	SLC4A11
		SPRR2A	SLC4A1AP
		SPRR2B	SLC4A2
		SPRR2E	SLC4A3
		SPRR4	SLC4A4
		SPRTN	SLC4A5
		SPRY1	SLC4A7
		SPRY2	SLC4A8
		SPRY3	SLC4A9
		SPRY4	SLC50A1
		SPRYD3	SLC51A
		SPRYD4	SLC51B
		SPRYD7	SLC52A1
		SPSB1	SLC52A2
		SPSB2	SLC52A3
		SPSB3	SLC5A1
		SPSB4	SLC5A10
		SPTA1	SLC5A11
		SPTAN1	SLC5A12
		SPTB	SLC5A2
		SPTBN1	SLC5A3
		SPTBN2	SLC5A4
		SPTBN4	SLC5A5
		SPTBN5	SLC5A6
		SPTLC1	SLC5A7
		SPTLC2	SLC5A8
		SPTLC3	SLC5A9
		SPTSSA	SLC6A1
		SPTSSB	SLC6A10P
		SPTY2D1	SLC6A11
		SPTY2D1-AS1	SLC6A12
		SPX	SLC6A13
		SPZ1	SLC6A14
		SQLE	SLC6A15
		SQRDL	SLC6A16
		SQSTM1	SLC6A17
		SRA1	SLC6A18
		SRBD1	SLC6A19
		SRC	SLC6A2
		SRCAP	SLC6A20
		SRCIN1	SLC6A3
		SRCRB4D	SLC6A4
		SRD5A1	SLC6A5
		SRD5A1P1	SLC6A6
		SRD5A2	SLC6A7
		SRD5A3-AS1	SLC6A8
		SREBF1	SLC6A9
		SREK1	SLC7A1
		SREK1IP1	SLC7A10
		SRF	SLC7A11
		SRFBP1	SLC7A13
		SRGAP1	SLC7A14
		SRGAP2	SLC7A2
		SRGAP2-AS1	SLC7A3
		SRGAP2B	SLC7A4
		SRGAP2D	SLC7A5
		SRGAP3	SLC7A5P1
		SRGAP3-AS3	SLC7A5P2
		SRGN	SLC7A6
		SRL	SLC7A6OS
		SRM	SLC7A7
		SRMS	SLC7A8
		SRP14	SLC7A9
		SRP14-AS1	SLC8A1
		SRP19	SLC8A2
		SRP68	SLC8A3
		SRP72	SLC8B1
		SRP9	SLC9A1
		SRPK1	SLC9A2
		SRPK2	SLC9A3
		SRPK3	SLC9A3R1
		SRPR	SLC9A3R2
		SRPRB	SLC9A4
		SRPX	SLC9A5
		SRPX2	SLC9A6
		SRR	SLC9A7
		SRRD	SLC9A7P1
		SRRM1	SLC9A8
		SRRM2	SLC9A9
		SRRM2-AS1	SLC9B1
		SRRM3	SLC9B2
		SRRM4	SLC9C1
		SRRM5	SLC9C2
		SRRT	SLCO1A2
		SRSF1	SLCO1B1
		SRSF10	SLCO1B3
		SRSF11	SLCO1B7
		SRSF12	SLCO1C1
		SRSF2	SLCO2A1
		SRSF3	SLCO2B1
		SRSF4	SLCO3A1
		SRSF5	SLCO4A1
		SRSF6	SLCO4A1-AS1
		SRSF7	SLCO4C1
		SRSF8	SLCO5A1
		SRSF9	SLCO6A1
		SRXN1	SLFN11
		SRY	SLFN12
		SS18	SLFN12L
		SS18L1	SLFN13
		SS18L2	SLFN14
		SSB	SLFN5
		SSBP1	SLFNL1
		SSBP2	SLFNL1-AS1
		SSBP3	SLIRP
		SSBP3-AS1	SLIT1
		SSBP4	SLIT2
		SSC5D	SLIT3
		SSFA2	SLITRK1
		SSH1	SLITRK2
		SSH2	SLITRK3
		SSH3	SLITRK4
		SSMEM1	SLITRK5
		SSNA1	SLITRK6
		SSPN	SLK
		SSPO	SLMAP
		SSR1	SLMO1
		SSR2	SLMO2
		SSR3	SLMO2-ATP5E
		SSR4	SLN
		SSR4P1	SLPI
		SSRP1	SLTM
		SSSCA1-AS1	SLU7
		SST	SLURP1
		SSTR1	SLX1A
		SSTR2	SLX1A-SULT1A3
		SSTR3	SLX1B
		SSTR4	SLX1B-SULT1A4
		SSTR5	SLX4
		SSTR5-AS1	SLX4IP
		SSU72	SMA4
		SSUH2	SMAD1
		SSX1	SMAD1-AS1
		SSX2	SMAD2
		SSX2B	SMAD3
		SSX2IP	SMAD4
		SSX3	SMAD5
		SSX4	SMAD5-AS1
		SSX4B	SMAD6
		SSX5	SMAD7
		SSX6	SMAD9
		SSX7	SMAGP
		SSX8	SMAP1
		SSX9	SMAP2
		ST13	SMARCA1
		ST13P4	SMARCA2
		ST14	SMARCA4
		ST18	SMARCA5
		ST20	SMARCA5-AS1
		ST20-MTHFS	SMARCAD1
		ST3GAL1	SMARCAL1
		ST3GAL2	SMARCB1
		ST3GAL3	SMARCC1
		ST3GAL4	SMARCC2
		ST3GAL4-AS1	SMARCD1
		ST3GAL5	SMARCD2
		ST3GAL6-AS1	SMARCD3
		ST5	SMARCE1
		ST6GAL2	SMC1A
		ST6GALNAC1	SMC1B
		ST6GALNAC2	SMC2
		ST6GALNAC3	SMC3
		ST6GALNAC4	SMC4
		ST6GALNAC5	SMC5
		ST6GALNAC6	SMC6
		ST7	SMCHD1
		ST7-AS1	SMCO1
		ST7-AS2	SMCO2
		ST7L	SMCO3
		ST7-OT3	SMCO4
		ST7-OT4	SMCP
		ST8SIA1	SMCR5
		ST8SIA2	SMCR8
		ST8SIA3	SMDT1
		ST8SIA4	SMEK1
		ST8SIA5	SMEK2
		ST8SIA6	SMEK3P
		ST8SIA6-AS1	SMG1
		STAB1	SMG1P1
		STAC	SMG1P2
		STAC2	SMG1P3
		STAC3	SMG1P7
		STAG1	SMG5
		STAG2	SMG6
		STAG3	SMG7
		STAG3L1	SMG8
		STAG3L2	SMG9
		STAG3L5P-PVRIG2P-PILRB	SMIM1
		STAM2	SMIM10
		STAM-AS1	SMIM11
		STAMBP	SMIM12
		STAP1	SMIM13
		STAP2	SMIM14
		STAR	SMIM15
		STARD10	SMIM17
		STARD13	SMIM18
		STARD13-AS	SMIM19
		STARD3	SMIM2
		STARD4	SMIM20
		STARD4-AS1	SMIM21
		STARD5	SMIM22
		STARD6	SMIM23
		STARD7	SMIM24
		STARD7-AS1	SMIM3
		STARD8	SMIM4
		STARD9	SMIM5
		STAT1	SMIM6
		STAT2	SMIM7
		STAT3	SMIM8
		STAT4	SMIM9
		STAT5A	SMKR1
		STAT5B	SMLR1
		STAT6	SMN1
		STATH	SMN2
		STAU1	SMNDC1
		STAU2	SMO
		STAU2-AS1	SMOC1
		STBD1	SMOC2
		STC1	SMOX
		STC2	SMPD1
		STEAP1	SMPD2
		STEAP1B	SMPD3
		STEAP2	SMPD4
		STEAP2-AS1	SMPDL3A
		STEAP3	SMPDL3B
		STH	SMPX
		STIL	SMR3A
		STIM1	SMR3B
		STIM2	SMS
		STIP1	SMTN
		STK10	SMTNL1
		STK11	SMTNL2
		STK11IP	SMU1
		STK16	SMUG1
		STK17A	SMURF1
		STK17B	SMURF2
		STK19	SMYD1
		STK24	SMYD2
		STK25	SMYD3
		STK3	SMYD4
		STK31	SMYD5
		STK32A	SNAI1
		STK32B	SNAI2
		STK32C	SNAI3
		STK33	SNAP23
		STK35	SNAP25
		STK36	SNAP29
		STK38	SNAP47
		STK38L	SNAP91
		STK39	SNAPC1
		STK4	SNAPC2
		STK40	SNAPC3
		STK4-AS1	SNAPC4
		STL	SNAPC5
		STMN1	SNAPIN
		STMN2	SNCA
		STMN3	SNCAIP
		STMN4	SNCB
		STMND1	SNCG
		STOM	SND1
		STOML1	SND1-IT1
		STOML2	SNED1
		STOML3	SNF8
		STON1	SNHG1
		STON1-GTF2A1L	SNHG10
		STON2	SNHG12
		STOX1	SNHG15
		STOX2	SNHG16
		STPG1	SNHG18
		STPG2	SNHG20
		STPG2-AS1	SNHG22
		STRA13	SNHG24
		STRA8	SNHG3
		STRADA	SNHG4
		STRADB	SNHG5
		STRAP	SNHG6
		STRBP	SNHG7
		STRC	SNHG8
		STRIP1	SNHG9
		STRIP2	SNIP1
		STRN	SNN
		STRN3	SNORA1
		STRN4	SNORA10
		STS	SNORA11
		STT3A	SNORA11B
		STT3B	SNORA11C
		STUB1	SNORA11D
		STX10	SNORA11E
		STX11	SNORA12
		STX12	SNORA13
		STX16	SNORA14A
		STX16-NPEPL1	SNORA14B
		STX17	SNORA15
		STX18	SNORA16A
		STX18-AS1	SNORA16B
		STX19	SNORA17
		STX1B	SNORA18
		STX2	SNORA19
		STX3	SNORA20
		STX4	SNORA21
		STX5	SNORA22
		STX6	SNORA23
		STX7	SNORA24
		STX8	SNORA25
		STXBP1	SNORA26
		STXBP2	SNORA27
		STXBP3	SNORA28
		STXBP4	SNORA29
		STXBP5	SNORA2A
		STXBP5-AS1	SNORA2B
		STXBP5L	SNORA30
		STXBP6	SNORA31
		STYK1	SNORA32
		STYX	SNORA33
		STYXL1	SNORA34
		SUB1	SNORA35
		SUCLA2	SNORA36A
		SUCLG1	SNORA36B
		SUCLG2	SNORA36C
		SUCLG2-AS1	SNORA37
		SUCNR1	SNORA38
		SUCO	SNORA38B
		SUDS3	SNORA4
		SUFU	SNORA40
		SUGCT	SNORA41
		SUGP1	SNORA43
		SUGP2	SNORA44
		SUGT1	SNORA45A
		SUGT1P1	SNORA45B
		SUGT1P3	SNORA46
		SULF2	SNORA47
		SULT1A1	SNORA48
		SULT1A2	SNORA49
		SULT1A3	SNORA51
		SULT1A4	SNORA52
		SULT1B1	SNORA53
		SULT1C2	SNORA54
		SULT1C2P1	SNORA55
		SULT1C3	SNORA56
		SULT1E1	SNORA57
		SULT2A1	SNORA58
		SULT2B1	SNORA59A
		SULT4A1	SNORA59B
		SULT6B1	SNORA5A
		SUMF1	SNORA5B
		SUMF2	SNORA5C
		SUMO1	SNORA6
		SUMO1P1	SNORA60
		SUMO1P3	SNORA61
		SUMO4	SNORA62
		SUN1	SNORA63
		SUN2	SNORA64
		SUN3	SNORA65
		SUN5	SNORA66
		SUOX	SNORA67
		SUPT16H	SNORA68
		SUPT20H	SNORA69
		SUPT20HL1	SNORA70
		SUPT20HL2	SNORA70B
		SUPT3H	SNORA70C
		SUPT4H1	SNORA70D
		SUPT5H	SNORA70E
		SUPT6H	SNORA70F
		SUPT7L	SNORA70G
		SUPV3L1	SNORA71A
		SURF1	SNORA71B
		SURF2	SNORA71C
		SURF4	SNORA71D
		SURF6	SNORA71E
		SUSD1	SNORA72
		SUSD2	SNORA73B
		SUSD3	SNORA74A
		SUSD4	SNORA74B
		SUSD5	SNORA75
		SUV39H1	SNORA76A
		SUV39H2	SNORA76C
		SUV420H1	SNORA77
		SUV420H2	SNORA78
		SUZ12	SNORA79
		SUZ12P1	SNORA7A
		SV2A	SNORA7B
		SV2B	SNORA8
		SV2C	SNORA80A
		SVEP1	SNORA80B
		SVIL	SNORA80E
		SVILP1	SNORA81
		SVIP	SNORA84
		SVOP	SNORA9
		SVOPL	SNORD10
		SWAP70	SNORD100
		SWI5	SNORD101
		SWSAP1	SNORD102
		SWT1	SNORD103A
		SYAP1	SNORD103B
		SYBU	SNORD104
		SYCE1	SNORD105
		SYCE1L	SNORD105B
		SYCE2	SNORD107
		SYCE3	SNORD108
		SYCN	SNORD109A
		SYCP1	SNORD109B
